raceId,driverId,pos,laps,time
2003-11,antonio-pizzonia,15,14,83703
2003-11,giancarlo-fisichella,16,16,83944
2003-11,nick-heidfeld,17,20,83945
2003-11,ralph-firman,18,16,83981
2003-11,jos-verstappen,19,13,85684
2003-11,justin-wilson,20,14,85906
2003-12,ralf-schumacher,1,13,75387
2003-12,r-barrichello,2,16,75495
2003-12,juan-pablo-montoya,3,7,75716
2003-12,fernando-alonso,4,19,76277
2003-12,jarno-trulli,5,13,76305
2003-12,kimi-raikkonen,6,15,76320
2003-12,mark-webber,7,17,76474
2003-12,michael-schumacher,8,17,76493
2003-12,jenson-button,9,24,76954
2003-12,jacques-villeneuve,10,25,76957
2003-12,olivier-panis,11,11,77169
2003-12,heinz-harald-frentzen,12,17,77334
2003-12,cristiano-da-matta,13,22,77426
2003-12,giancarlo-fisichella,14,16,77583
2003-12,nick-heidfeld,15,25,77647
2003-12,justin-wilson,16,11,77766
2003-12,ralph-firman,17,18,78403
2003-12,jos-verstappen,18,20,79533
2003-12,nicolas-kiesa,19,4,80408
2003-12,david-coulthard,20,2,
2003-13,ralf-schumacher,1,18,81939
2003-13,michael-schumacher,2,16,82313
2003-13,r-barrichello,3,12,82467
2003-13,juan-pablo-montoya,4,13,82494
2003-13,mark-webber,5,23,82848
2003-13,kimi-raikkonen,6,14,82876
2003-13,fernando-alonso,7,18,82902
2003-13,jarno-trulli,8,13,83074
2003-13,david-coulthard,9,13,83293
2003-13,olivier-panis,10,17,83789
2003-13,jenson-button,11,22,83805
2003-13,nick-heidfeld,12,22,83838
2003-13,justin-wilson,13,22,83853
2003-13,heinz-harald-frentzen,14,19,84006
2003-13,jacques-villeneuve,15,25,84154
2003-13,giancarlo-fisichella,16,14,84343
2003-13,cristiano-da-matta,17,13,84401
2003-13,jos-verstappen,18,15,86498
2003-13,nicolas-kiesa,19,13,87295
2003-14,juan-pablo-montoya,1,11,81468
2003-14,michael-schumacher,2,15,81586
2003-14,marc-gene,3,16,81928
2003-14,kimi-raikkonen,4,15,82091
2003-14,r-barrichello,5,15,82108
2003-14,david-coulthard,6,10,82134
2003-14,olivier-panis,7,14,82321
2003-14,jarno-trulli,8,16,82333
2003-14,jenson-button,9,21,82378
2003-14,fernando-alonso,10,16,82399
2003-14,jacques-villeneuve,11,18,82906
2003-14,cristiano-da-matta,12,20,83195
2003-14,mark-webber,13,22,83294
2003-14,heinz-harald-frentzen,14,20,83461
2003-14,nick-heidfeld,15,17,83846
2003-14,justin-wilson,16,24,84049
2003-14,giancarlo-fisichella,17,18,84627
2003-14,jos-verstappen,18,17,84837
2003-14,zsolt-baumgartner,19,17,85916
2003-14,nicolas-kiesa,20,11,86160
2003-15,r-barrichello,1,18,71112
2003-15,jarno-trulli,2,23,71124
2003-15,michael-schumacher,3,16,71139
2003-15,juan-pablo-montoya,4,17,71232
2003-15,david-coulthard,5,20,71355
2003-15,kimi-raikkonen,6,22,71493
2003-15,olivier-panis,7,21,71758
2003-15,mark-webber,8,27,71800
2003-15,ralf-schumacher,9,11,72060
2003-15,fernando-alonso,10,18,72135
2003-15,jenson-button,11,23,72186
2003-15,nick-heidfeld,12,22,72380
2003-15,cristiano-da-matta,13,15,72671
2003-15,heinz-harald-frentzen,14,17,72680
2003-15,jacques-villeneuve,15,19,72931
2003-15,justin-wilson,16,27,73275
2003-15,giancarlo-fisichella,17,15,73458
2003-15,ralph-firman,18,20,73749
2003-15,jos-verstappen,19,12,74335
2003-15,nicolas-kiesa,20,20,74781
2003-16,ralf-schumacher,1,10,91149
2003-16,juan-pablo-montoya,2,15,91422
2003-16,michael-schumacher,3,12,91705
2003-16,jarno-trulli,4,19,92343
2003-16,r-barrichello,5,11,92796
2003-16,kimi-raikkonen,6,7,92930
2003-16,olivier-panis,7,16,93082
2003-16,fernando-alonso,8,15,93107
2003-16,cristiano-da-matta,9,17,93133
2003-16,jenson-button,10,22,93411
2003-16,takuma-sato,11,10,93662
2003-16,heinz-harald-frentzen,12,16,93694
2003-16,mark-webber,13,15,93807
2003-16,justin-wilson,14,18,93952
2003-16,nick-heidfeld,15,19,94558
2003-16,giancarlo-fisichella,16,15,95476
2003-16,ralph-firman,17,15,95620
2003-16,jos-verstappen,18,6,97379
2003-16,nicolas-kiesa,19,18,97884
2004-1,michael-schumacher,1,13,85786
2004-1,r-barrichello,2,8,86159
2004-1,juan-pablo-montoya,3,13,86195
2004-1,ralf-schumacher,4,11,86390
2004-1,david-coulthard,5,5,86428
2004-1,fernando-alonso,6,7,86610
2004-1,kimi-raikkonen,7,6,86725
2004-1,mark-webber,8,5,86804
2004-1,jarno-trulli,9,14,86817
2004-1,jenson-button,10,11,86995
2004-1,olivier-panis,11,16,87107
2004-1,cristiano-da-matta,12,14,87717
2004-1,giancarlo-fisichella,13,9,87744
2004-1,felipe-massa,14,15,88341
2004-1,takuma-sato,15,12,88438
2004-1,christian-klien,16,7,88572
2004-1,giorgio-pantano,17,13,90057
2004-1,nick-heidfeld,18,13,90233
2004-1,gianmaria-bruni,19,12,91310
2004-1,zsolt-baumgartner,20,14,92295
2004-2,michael-schumacher,1,7,93391
2004-2,fernando-alonso,2,12,94175
2004-2,ralf-schumacher,3,8,94239
2004-2,r-barrichello,4,9,94362
2004-2,david-coulthard,5,9,94415
2004-2,jarno-trulli,6,14,94482
2004-2,juan-pablo-montoya,7,12,94547
2004-2,mark-webber,8,5,94770
2004-2,jenson-button,9,11,94839
2004-2,giancarlo-fisichella,10,9,95516
2004-2,cristiano-da-matta,11,4,95678
2004-2,takuma-sato,12,16,95697
2004-2,olivier-panis,13,10,95697
2004-2,felipe-massa,14,10,95813
2004-2,christian-klien,15,8,96106
2004-2,nick-heidfeld,16,9,97194
2004-2,giorgio-pantano,17,11,98302
2004-2,zsolt-baumgartner,18,13,99013
2004-2,gianmaria-bruni,19,11,99209
2004-2,kimi-raikkonen,20,4,
2004-3,jenson-button,1,11,90062
2004-3,juan-pablo-montoya,2,9,90121
2004-3,michael-schumacher,3,10,90545
2004-3,r-barrichello,4,10,90616
2004-3,ralf-schumacher,5,13,90651
2004-3,kimi-raikkonen,6,14,91003
2004-3,takuma-sato,7,10,91090
2004-3,david-coulthard,8,9,91341
2004-3,fernando-alonso,9,9,91485
2004-3,jarno-trulli,10,17,91644
2004-3,christian-klien,11,4,91692
2004-3,olivier-panis,12,16,91962
2004-3,cristiano-da-matta,13,10,92183
2004-3,giancarlo-fisichella,14,10,92210
2004-3,mark-webber,15,9,92276
2004-3,nick-heidfeld,16,12,93404
2004-3,giorgio-pantano,17,11,93474
2004-3,gianmaria-bruni,18,11,93863
2004-3,zsolt-baumgartner,19,9,95696
2004-3,felipe-massa,20,1,
2004-4,michael-schumacher,1,13,80856
2004-4,jenson-button,2,11,81165
2004-4,r-barrichello,3,10,81583
2004-4,juan-pablo-montoya,4,14,81764
2004-4,ralf-schumacher,5,13,81864
2004-4,fernando-alonso,6,13,81954
2004-4,takuma-sato,7,11,82013
2004-4,david-coulthard,8,6,82051
2004-4,kimi-raikkonen,9,5,82164
2004-4,jarno-trulli,10,13,82462
2004-4,mark-webber,11,10,82707
2004-4,olivier-panis,12,14,82885
2004-4,giancarlo-fisichella,13,6,82991
2004-4,felipe-massa,14,10,83105
2004-4,cristiano-da-matta,15,17,83482
2004-4,giorgio-pantano,16,13,84255
2004-4,nick-heidfeld,17,10,84907
2004-4,gianmaria-bruni,18,11,86783
2004-4,zsolt-baumgartner,19,13,87539
2004-4,christian-klien,20,2,
2004-5,jenson-button,1,10,75984
2004-5,jarno-trulli,2,8,76015
2004-5,juan-pablo-montoya,3,4,76048
2004-5,ralf-schumacher,4,7,76233
2004-5,michael-schumacher,5,8,76519
2004-5,takuma-sato,6,11,76685
2004-5,olivier-panis,7,6,76721
2004-5,r-barrichello,8,8,76795
2004-5,david-coulthard,9,8,77106
2004-5,cristiano-da-matta,10,8,77252
2004-5,giancarlo-fisichella,11,6,77277
2004-5,fernando-alonso,12,4,77294
2004-5,kimi-raikkonen,13,8,77428
2004-5,felipe-massa,14,7,77860
2004-5,nick-heidfeld,15,13,78643
2004-5,giorgio-pantano,16,10,79146
2004-5,christian-klien,17,18,79851
2004-5,zsolt-baumgartner,18,12,79949
2004-5,gianmaria-bruni,19,3,
2004-5,mark-webber,20,2,
2004-6,michael-schumacher,1,9,75751
2004-6,r-barrichello,2,9,75770
2004-6,mark-webber,3,19,76273
2004-6,jenson-button,4,14,76358
2004-6,jarno-trulli,5,8,76374
2004-6,fernando-alonso,6,10,76386
2004-6,kimi-raikkonen,7,15,76400
2004-6,takuma-sato,8,15,76540
2004-6,juan-pablo-montoya,9,13,76559
2004-6,david-coulthard,10,13,76756
2004-6,ralf-schumacher,11,9,76863
2004-6,giancarlo-fisichella,12,11,77209
2004-6,cristiano-da-matta,13,12,77409
2004-6,giorgio-pantano,14,13,78117
2004-6,olivier-panis,15,11,78299
2004-6,christian-klien,16,21,78390
2004-6,nick-heidfeld,17,12,79221
2004-6,zsolt-baumgartner,18,6,83963
2004-6,gianmaria-bruni,19,3,
2004-6,felipe-massa,20,2,
2004-7,jenson-button,1,11,89485
2004-7,ralf-schumacher,2,7,90192
2004-7,takuma-sato,3,7,90261
2004-7,juan-pablo-montoya,4,11,90369
2004-7,michael-schumacher,5,10,90418
2004-7,kimi-raikkonen,6,5,90532
2004-7,jarno-trulli,7,5,90551
2004-7,fernando-alonso,8,5,90600
2004-7,r-barrichello,9,5,90681
2004-7,olivier-panis,10,11,91248
2004-7,cristiano-da-matta,11,11,91814
2004-7,giancarlo-fisichella,12,9,91816
2004-7,felipe-massa,13,10,92206
2004-7,mark-webber,14,5,92596
2004-7,nick-heidfeld,15,13,92690
2004-7,zsolt-baumgartner,16,14,92898
2004-7,giorgio-pantano,17,12,93226
2004-7,gianmaria-bruni,18,9,93499
2004-7,christian-klien,19,16,93917
2004-7,david-coulthard,20,2,
2004-8,michael-schumacher,1,13,73865
2004-8,fernando-alonso,2,9,73946
2004-8,jenson-button,3,10,74047
2004-8,r-barrichello,4,12,74284
2004-8,jarno-trulli,5,11,74421
2004-8,kimi-raikkonen,6,7,74584
2004-8,david-coulthard,7,7,74747
2004-8,juan-pablo-montoya,8,17,75067
2004-8,ralf-schumacher,9,13,75191
2004-8,giancarlo-fisichella,10,10,75290
2004-8,cristiano-da-matta,11,13,75573
2004-8,felipe-massa,12,16,75764
2004-8,olivier-panis,13,13,75843
2004-8,mark-webber,14,6,75854
2004-8,christian-klien,15,10,76124
2004-8,nick-heidfeld,16,15,76305
2004-8,timo-glock,17,13,76928
2004-8,gianmaria-bruni,18,15,78409
2004-8,zsolt-baumgartner,19,15,78711
2004-8,takuma-sato,20,4,
2004-9,r-barrichello,1,9,70911
2004-9,jenson-button,2,9,71071
2004-9,michael-schumacher,3,8,71207
2004-9,fernando-alonso,4,12,71509
2004-9,ralf-schumacher,5,14,71671
2004-9,jarno-trulli,6,11,71723
2004-9,takuma-sato,7,14,71989
2004-9,cristiano-da-matta,8,12,72001
2004-9,kimi-raikkonen,9,7,72015
2004-9,mark-webber,10,6,72128
2004-9,christian-klien,11,6,72147
2004-9,juan-pablo-montoya,12,8,72240
2004-9,giancarlo-fisichella,13,10,72405
2004-9,olivier-panis,14,14,72451
2004-9,david-coulthard,15,11,72584
2004-9,felipe-massa,16,13,72911
2004-9,gianmaria-bruni,17,12,72957
2004-9,zsolt-baumgartner,18,12,73396
2004-9,nick-heidfeld,19,11,73454
2004-9,giorgio-pantano,20,12,73761
2004-10,michael-schumacher,1,12,74944
2004-10,david-coulthard,2,11,75402
2004-10,jarno-trulli,3,11,75423
2004-10,fernando-alonso,4,15,75434
2004-10,olivier-panis,5,14,75478
2004-10,r-barrichello,6,14,75500
2004-10,juan-pablo-montoya,7,16,75529
2004-10,mark-webber,8,8,75907
2004-10,giancarlo-fisichella,9,11,75910
2004-10,jenson-button,10,15,76304
2004-10,cristiano-da-matta,11,17,76384
2004-10,takuma-sato,12,16,76569
2004-10,marc-gene,13,18,76608
2004-10,felipe-massa,14,14,76619
2004-10,christian-klien,15,27,76669
2004-10,gianmaria-bruni,16,15,77174
2004-10,giorgio-pantano,17,19,77399
2004-10,zsolt-baumgartner,18,14,77731
2004-10,nick-heidfeld,19,16,77846
2004-10,kimi-raikkonen,20,1,
2004-11,kimi-raikkonen,1,5,79315
2004-11,jenson-button,2,6,79468
2004-11,michael-schumacher,3,11,79571
2004-11,r-barrichello,4,8,79585
2004-11,juan-pablo-montoya,5,10,79699
2004-11,jarno-trulli,6,5,79966
2004-11,david-coulthard,7,5,79979
2004-11,takuma-sato,8,6,80177
2004-11,fernando-alonso,9,13,80482
2004-11,marc-gene,10,13,80552
2004-11,felipe-massa,11,6,80685
2004-11,giancarlo-fisichella,12,9,80759
2004-11,cristiano-da-matta,13,11,81017
2004-11,mark-webber,14,5,81295
2004-11,olivier-panis,15,15,81416
2004-11,christian-klien,16,6,81706
2004-11,giorgio-pantano,17,11,81984
2004-11,nick-heidfeld,18,12,82503
2004-12,michael-schumacher,1,11,75066
2004-12,juan-pablo-montoya,2,5,75277
2004-12,r-barrichello,3,10,75354
2004-12,kimi-raikkonen,4,6,75626
2004-12,jenson-button,5,10,75839
2004-12,olivier-panis,6,7,75882
2004-12,david-coulthard,7,7,75919
2004-12,antonio-pizzonia,8,12,76151
2004-12,giancarlo-fisichella,9,9,76232
2004-12,jarno-trulli,10,5,76334
2004-12,cristiano-da-matta,11,8,76457
2004-12,fernando-alonso,12,5,76462
2004-12,felipe-massa,13,8,76532
2004-12,christian-klien,14,5,76650
2004-12,mark-webber,15,7,76961
2004-12,nick-heidfeld,16,10,77369
2004-12,gianmaria-bruni,17,11,78198
2004-12,giorgio-pantano,18,4,78914
2004-12,zsolt-baumgartner,19,9,81288
2004-12,takuma-sato,20,4,
2004-13,michael-schumacher,1,10,80216
2004-13,antonio-pizzonia,2,14,80482
2004-13,juan-pablo-montoya,3,15,80696
2004-13,jenson-button,4,11,80731
2004-13,r-barrichello,5,12,80830
2004-13,jarno-trulli,6,10,81257
2004-13,fernando-alonso,7,8,81392
2004-13,david-coulthard,8,8,81555
2004-13,felipe-massa,9,6,81593
2004-13,kimi-raikkonen,10,8,81825
2004-13,olivier-panis,11,15,81838
2004-13,ricardo-zonta,12,17,81927
2004-13,giancarlo-fisichella,13,9,82013
2004-13,mark-webber,14,9,82068
2004-13,christian-klien,15,6,82421
2004-13,giorgio-pantano,16,11,82709
2004-13,gianmaria-bruni,17,14,83112
2004-13,nick-heidfeld,18,13,83242
2004-13,zsolt-baumgartner,19,14,84233
2004-13,takuma-sato,20,4,
2004-15,juan-pablo-montoya,1,6,81700
2004-15,fernando-alonso,2,9,81705
2004-15,antonio-pizzonia,3,8,81723
2004-15,r-barrichello,4,9,81855
2004-15,takuma-sato,5,7,81867
2004-15,michael-schumacher,6,7,81962
2004-15,kimi-raikkonen,7,5,82018
2004-15,jenson-button,8,9,82062
2004-15,david-coulthard,9,6,82097
2004-15,felipe-massa,10,6,82284
2004-15,giancarlo-fisichella,11,5,82369
2004-15,jarno-trulli,12,9,82774
2004-15,mark-webber,13,7,82784
2004-15,ricardo-zonta,14,9,82867
2004-15,olivier-panis,15,9,83103
2004-15,christian-klien,16,8,83332
2004-15,gianmaria-bruni,17,14,84411
2004-15,giorgio-pantano,18,11,84526
2004-15,nick-heidfeld,19,12,84669
2004-15,zsolt-baumgartner,20,10,86114
2004-16,ralf-schumacher,1,7,94380
2004-16,juan-pablo-montoya,2,7,94679
2004-16,michael-schumacher,3,9,94844
2004-16,r-barrichello,4,8,94854
2004-16,giancarlo-fisichella,5,14,95049
2004-16,kimi-raikkonen,6,5,95532
2004-16,ricardo-zonta,7,8,95597
2004-16,jenson-button,8,9,95660
2004-16,david-coulthard,9,5,95930
2004-16,jacques-villeneuve,10,9,95965
2004-16,mark-webber,11,6,96002
2004-16,takuma-sato,12,13,96226
2004-16,fernando-alonso,13,8,96243
2004-16,felipe-massa,14,18,96539
2004-16,olivier-panis,15,6,96623
2004-16,christian-klien,16,4,97160
2004-16,nick-heidfeld,17,10,97166
2004-16,gianmaria-bruni,18,12,97533
2004-16,zsolt-baumgartner,19,13,97552
2004-16,timo-glock,20,11,98128
2004-18,jenson-button,1,9,71466
2004-18,takuma-sato,2,11,71580
2004-18,kimi-raikkonen,3,7,71591
2004-18,r-barrichello,4,6,71641
2004-18,ralf-schumacher,5,8,71714
2004-18,michael-schumacher,6,9,71740
2004-18,giancarlo-fisichella,7,6,71985
2004-18,felipe-massa,8,5,72064
2004-18,david-coulthard,9,7,72085
2004-18,juan-pablo-montoya,10,7,72208
2004-18,jarno-trulli,11,5,72263
2004-18,mark-webber,12,8,72356
2004-18,fernando-alonso,13,8,72563
2004-18,christian-klien,14,8,72612
2004-18,ricardo-zonta,15,10,73025
2004-18,nick-heidfeld,16,8,73327
2004-18,zsolt-baumgartner,17,10,74284
2004-18,gianmaria-bruni,18,11,74336
2004-18,timo-glock,19,11,74805
2004-18,jacques-villeneuve,20,2,
2005-1,michael-schumacher,1,5,100540
2005-1,r-barrichello,2,4,101933
2005-1,kimi-raikkonen,3,6,103526
2005-1,narain-karthikeyan,4,10,105641
2005-1,ralf-schumacher,5,6,105687
2005-1,takuma-sato,6,3,106768
2005-1,david-coulthard,7,5,108369
2005-1,christijan-albers,8,10,108566
2005-1,jarno-trulli,9,8,109623
2005-1,jenson-button,10,3,111364
2005-1,tiago-monteiro,11,5,113457
2005-1,patrick-friesacher,12,11,113507
2005-1,jacques-villeneuve,13,3,
2005-1,christian-klien,14,1,
2005-1,felipe-massa,15,3,
2005-1,juan-pablo-montoya,16,1,
2005-1,nick-heidfeld,17,3,
2005-1,mark-webber,18,3,
2005-1,fernando-alonso,19,2,
2005-1,giancarlo-fisichella,20,2,
2005-2,fernando-alonso,1,5,94715
2005-2,michael-schumacher,2,10,94883
2005-2,giancarlo-fisichella,3,6,94930
2005-2,kimi-raikkonen,4,9,95054
2005-2,jarno-trulli,5,6,95573
2005-2,ralf-schumacher,6,10,95645
2005-2,juan-pablo-montoya,7,8,95850
2005-2,jenson-button,8,7,96162
2005-2,nick-heidfeld,9,3,96434
2005-2,mark-webber,10,5,96465
2005-2,david-coulthard,11,11,96888
2005-2,r-barrichello,12,7,96903
2005-2,felipe-massa,13,6,96987
2005-2,anthony-davidson,14,12,97049
2005-2,christian-klien,15,10,97204
2005-2,jacques-villeneuve,16,6,97850
2005-2,narain-karthikeyan,17,11,98444
2005-2,tiago-monteiro,18,12,99349
2005-2,patrick-friesacher,19,15,101398
2005-2,christijan-albers,20,16,102023
2005-3,michael-schumacher,1,4,90552
2005-3,fernando-alonso,2,6,91811
2005-3,pedro-de-la-rosa,3,5,92766
2005-3,jarno-trulli,4,8,92776
2005-3,christian-klien,5,10,92841
2005-3,ralf-schumacher,6,11,92868
2005-3,giancarlo-fisichella,7,6,92877
2005-3,narain-karthikeyan,8,8,92999
2005-3,mark-webber,9,4,93276
2005-3,david-coulthard,10,10,93606
2005-3,jenson-button,11,6,93683
2005-3,nick-heidfeld,12,4,94133
2005-3,takuma-sato,13,12,94163
2005-3,felipe-massa,14,10,94232
2005-3,tiago-monteiro,15,10,94392
2005-3,jacques-villeneuve,16,6,95464
2005-3,patrick-friesacher,17,15,96561
2005-3,christijan-albers,18,13,97445
2005-3,kimi-raikkonen,19,5,97949
2005-4,michael-schumacher,1,8,81356
2005-4,r-barrichello,2,14,82885
2005-4,felipe-massa,3,6,82971
2005-4,kimi-raikkonen,4,6,83723
2005-4,mark-webber,5,4,83788
2005-4,vitantonio-liuzzi,6,17,83894
2005-4,giancarlo-fisichella,7,3,84120
2005-4,ralf-schumacher,8,4,84156
2005-4,alexander-wurz,9,7,84262
2005-4,nick-heidfeld,10,4,84341
2005-4,david-coulthard,11,13,84523
2005-4,jenson-button,12,5,84757
2005-4,takuma-sato,13,6,84770
2005-4,narain-karthikeyan,14,5,85148
2005-4,tiago-monteiro,15,12,85197
2005-4,jacques-villeneuve,16,6,85393
2005-4,jarno-trulli,17,3,85730
2005-4,christijan-albers,18,10,87658
2005-4,patrick-friesacher,19,7,87854
2005-5,giancarlo-fisichella,1,6,75605
2005-5,michael-schumacher,2,10,75631
2005-5,ralf-schumacher,3,10,75860
2005-5,r-barrichello,4,10,76004
2005-5,vitantonio-liuzzi,5,16,76241
2005-5,david-coulthard,6,12,76323
2005-5,juan-pablo-montoya,7,4,76560
2005-5,kimi-raikkonen,8,5,77363
2005-5,nick-heidfeld,9,7,77615
2005-5,mark-webber,10,15,77701
2005-5,tiago-monteiro,11,12,77870
2005-5,narain-karthikeyan,12,7,78198
2005-5,felipe-massa,13,7,78209
2005-5,jarno-trulli,14,3,78215
2005-5,jacques-villeneuve,15,6,78686
2005-5,patrick-friesacher,16,15,80417
2005-5,christijan-albers,17,10,81145
2005-5,fernando-alonso,18,2,
2005-6,juan-pablo-montoya,1,16,76197
2005-6,giancarlo-fisichella,2,12,76403
2005-6,ralf-schumacher,3,16,76508
2005-6,fernando-alonso,4,12,76513
2005-6,michael-schumacher,5,14,76803
2005-6,kimi-raikkonen,6,15,76875
2005-6,nick-heidfeld,7,12,76935
2005-6,david-coulthard,8,13,77180
2005-6,r-barrichello,9,12,77475
2005-6,mark-webber,10,8,78065
2005-6,jarno-trulli,11,12,78215
2005-6,vitantonio-liuzzi,12,15,78259
2005-6,jacques-villeneuve,13,9,78640
2005-6,patrick-friesacher,14,13,79271
2005-6,tiago-monteiro,15,15,80215
2005-6,narain-karthikeyan,16,18,80348
2005-6,christijan-albers,17,18,81563
2005-6,felipe-massa,18,1,
2005-7,fernando-alonso,1,10,90615
2005-7,juan-pablo-montoya,2,10,91278
2005-7,kimi-raikkonen,3,10,91573
2005-7,giancarlo-fisichella,4,9,91778
2005-7,r-barrichello,5,8,91794
2005-7,michael-schumacher,6,15,92097
2005-7,mark-webber,7,9,92266
2005-7,nick-heidfeld,8,7,92304
2005-7,ralf-schumacher,9,13,92432
2005-7,takuma-sato,10,7,92483
2005-7,jenson-button,11,4,92501
2005-7,jarno-trulli,12,5,92719
2005-7,felipe-massa,13,7,93212
2005-7,david-coulthard,14,9,93365
2005-7,vitantonio-liuzzi,15,5,93414
2005-7,narain-karthikeyan,16,12,93681
2005-7,jacques-villeneuve,17,6,93731
2005-7,tiago-monteiro,18,7,94407
2005-7,christijan-albers,19,15,94871
2005-7,patrick-friesacher,20,11,95067
2005-8,fernando-alonso,1,13,75582
2005-8,giancarlo-fisichella,2,8,75758
2005-8,kimi-raikkonen,3,9,75826
2005-8,takuma-sato,4,10,76109
2005-8,jenson-button,5,5,76386
2005-8,mark-webber,6,9,76463
2005-8,michael-schumacher,7,9,76538
2005-8,nick-heidfeld,8,8,76569
2005-8,juan-pablo-montoya,9,8,76749
2005-8,felipe-massa,10,5,76816
2005-8,ralf-schumacher,11,9,76999
2005-8,jarno-trulli,12,5,77441
2005-8,jacques-villeneuve,13,6,77469
2005-8,christian-klien,14,9,77595
2005-8,r-barrichello,15,10,77908
2005-8,david-coulthard,16,9,77992
2005-8,narain-karthikeyan,17,11,78338
2005-8,tiago-monteiro,18,15,78710
2005-8,patrick-friesacher,19,14,81031
2005-8,christijan-albers,20,7,81882
2005-9,juan-pablo-montoya,1,4,70726
2005-9,michael-schumacher,2,11,71769
2005-9,r-barrichello,3,9,71838
2005-9,david-coulthard,4,7,72409
2005-9,tiago-monteiro,5,12,73399
2005-9,narain-karthikeyan,6,12,73764
2005-9,patrick-friesacher,7,16,74572
2005-9,christijan-albers,8,6,75164
2005-9,jacques-villeneuve,9,7,
2005-9,kimi-raikkonen,10,6,
2005-9,jenson-button,11,7,
2005-9,takuma-sato,12,6,
2005-9,nick-heidfeld,13,5,
2005-9,giancarlo-fisichella,14,6,
2005-9,mark-webber,15,4,
2005-9,felipe-massa,16,7,
2005-9,fernando-alonso,17,4,
2005-9,christian-klien,18,4,
2005-9,ricardo-zonta,19,1,
2005-10,fernando-alonso,1,11,83939
2005-10,giancarlo-fisichella,2,10,84922
2005-10,kimi-raikkonen,3,5,86483
2005-10,david-coulthard,4,3,87019
2005-10,jenson-button,5,6,87276
2005-10,mark-webber,6,8,87313
2005-10,nick-heidfeld,7,7,87510
2005-10,patrick-friesacher,8,5,90166
2005-10,christijan-albers,9,6,91872
2005-10,jarno-trulli,10,3,
2005-10,juan-pablo-montoya,11,1,
2005-10,tiago-monteiro,12,1,
2005-10,takuma-sato,13,1,
2005-10,ralf-schumacher,14,2,
2005-10,narain-karthikeyan,15,2,
2005-10,felipe-massa,16,1,
2005-10,jacques-villeneuve,17,1,
2005-10,christian-klien,18,1,
2005-11,kimi-raikkonen,1,7,80975
2005-11,fernando-alonso,2,9,81402
2005-11,jenson-button,3,6,81996
2005-11,giancarlo-fisichella,4,9,82331
2005-11,juan-pablo-montoya,5,5,82377
2005-11,takuma-sato,6,12,82389
2005-11,felipe-massa,7,14,82413
2005-11,michael-schumacher,8,8,82496
2005-11,christian-klien,9,6,82645
2005-11,ralf-schumacher,10,7,82775
2005-11,david-coulthard,11,8,83026
2005-11,r-barrichello,12,8,83182
2005-11,jacques-villeneuve,13,12,83191
2005-11,jarno-trulli,14,4,83458
2005-11,nick-heidfeld,15,7,83480
2005-11,mark-webber,16,5,83705
2005-11,tiago-monteiro,17,13,83820
2005-11,narain-karthikeyan,18,8,84230
2005-11,christijan-albers,19,13,85007
2005-11,patrick-friesacher,20,15,85696
2005-12,kimi-raikkonen,1,10,75684
2005-12,juan-pablo-montoya,2,5,75753
